1;12.01.2023;111;11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
3;24.01.2023;Заголовок 8590;Содержимое Заметки 8699181
4;05.02.2023;Заголовок 3300;Содержимое Заметки 6527571
5;03.01.2022;Редактирование даты в заметке;В заметке отредактирована запись даты, при выборе диапазона от 4-й заметки эта 5-я заметка не попадет в выборку и войдет в выборку при Всё до Даты 4-й заметки
6;01.03.2023;Заголовок 7557;Содержимое Заметки 7291502
7;11.03.2023;Заголовок 3723;Содержимое Заметки 1653925
8;23.04.2023;555;5555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555
9;28.04.2023;Удаление заметок;В списке заметок удалены с ID: 2, 13, 14. Следущий ID: max ID + 1
10;29.04.2023;Заголовок 4366;Содержимое Заметки 2842232
11;02.05.2023;Заголовок 8018;Содержимое Заметки 8259528
12;02.05.2023;Заголовок 3157;Содержимое Заметки 2418725
15;02.05.2023;Заголовок 9594;Содержимое Заметки 1837477
